lane,claim_id,place,body,claim_source,claim_value,verification_source,verification_value,discrepancy,status,last_updated
jjm-functional,jjm-2024-india,India,aquifers + rivers,JJM dashboard (Jan 2025),81%+ rural HH tap coverage,CAG 2024 audit,40-55% functional,26-41 pp gap,verified,2026-05-10
jjm-functional,jjm-2024-PB,Punjab,aquifers,JJM dashboard,99% coverage,CAG 2024 · Punjab sample,~47% functional,52 pp gap,verified,2026-05-10
jjm-functional,jjm-2024-BR,Bihar,aquifers,JJM dashboard,95% coverage,CAG 2024 + on-ground reports,~35% functional,60 pp gap,verified,2026-05-10
jjm-functional,jjm-2024-KA,Karnataka,aquifers,JJM dashboard,81% coverage,CAG 2024 + WELL Labs ground-truth,~48% functional,33 pp gap,verified,2026-05-10
jjm-functional,jjm-2024-TN,Tamil Nadu,aquifers,JJM dashboard,78% coverage,CAG 2024 · TN sample,~52% functional,26 pp gap,in-review,2026-05-10
csr-water-positive,csr-cocacola-2024,India,aquifers,Coca-Cola sustainability report 2024,Water-positive 2.13x,NRMC third-party + Plachimada precedent,Methodology disputed · greenwashing risk,Methodology not third-party audited,disputed,2026-05-10
csr-water-positive,csr-itc-2024,India,aquifers,ITC sustainability report 2024,Water-positive 6x (5x by 2030 target),KPMG third-party assurance,Audited methodology · best-in-class,None (verified),verified,2026-05-10
csr-water-positive,csr-reliance-2024,India,aquifers,Reliance Foundation CSR FY25,~₹200-300 cr water-attributable,MCA filings + limited public audit,Allocation criteria opaque,Limited verification,open,2026-05-10
csr-water-positive,csr-hul-2024,India,aquifers,HUL sustainability report 2024,Water-positive 3.4x,Self-reported · DNV partial,Methodology opaque,Self-reporting bias,open,2026-05-10
csr-water-positive,csr-pepsico-2024,India,aquifers,"PepsiCo ""positive water impact""",Stated water positive,No published methodology,Insufficient public data,Methodology not public,disputed,2026-05-10
ocems,ocems-coverage-2024,India,rivers + urban-drains,CPCB OCEMS-required list,"17 industrial categories · 7,000+ industries mandated",CPCB real-time data portal,~200 stations actually publishing real-time,~97% coverage gap,verified,2026-05-10
ocems,ocems-tampering-2024,India,rivers,CPCB OCEMS specifications,24/7 real-time reporting required,CPCB inspection reports + RTI,Documented sensor manipulation · downtimes during inspection,Active circumvention documented,verified,2026-05-10
ocems,ocems-public-access,India,rivers,CPCB OCEMS data policy,Industry data legally restricted from public access,RTI denials + legal challenges,Public-good information legally locked,Civic-side audit impossible without legal reform,verified,2026-05-10
scheme-spend,jjm-spend-outcome,India,aquifers,JJM 2.0 outlay (₹1.45 L cr/yr · ₹8.69 L cr through Dec 2028),₹1.45 L cr/yr → 81% coverage claim,H/A/I trajectory + CAG functional rate,Health-axis still declining · functional 40-55%,₹/H-point near-zero or negative,verified,2026-05-10
scheme-spend,namami-gange-outcome,India,rivers,Namami Gange ₹38K cr cumulative spend,Ganga BOD targeted improvement,CPCB river-quality data 2015-2024,BOD reductions marginal · Kanpur+Varanasi critical,Outcome lag vs capital deployed,verified,2026-05-10
scheme-spend,mgnrega-water-durability,India,lakes-tanks,MGNREGA water-NRM ~₹50K cr/yr,Tank desilting + farm pond creation,CAG audit + post-implementation checks,Durability variable · 30-60% non-functional in 3 yrs,Asset creation vs durability gap,verified,2026-05-10
scheme-spend,atal-bhujal-outcome,India,aquifers,"Atal Bhujal ₹1,200 cr/yr · WB co-financed",GW recharge in stressed blocks,CGWB GEC 2023,Block-level recharge directional improvement,Methodology lag · 12-18 mo data delay,in-review,2026-05-10
scheme-spend,amrut-urban-dayzero,India,urban-drains,AMRUT 2.0 ₹55-60K cr/yr,Urban water supply improvement,BLR · Chennai · Hyderabad utility data,Day-Zero events rising · Chennai 2019 · BLR Mar 2024 near-miss,Capital does not address demand-side,verified,2026-05-10
anchor-commitments,y0-gate-2026,India,all,architecture.md §14.1 · Y0 gate criteria,"≥3 anchor commitments with non-substitution clauses by Dec 31, 2026",Public commitment log · architecture.md tracker,0 commitments to date,3 commitments outstanding · ~600 days remaining,open,2026-05-10
anchor-commitments,co-author-recruitment,India,all,architecture.md §14.2 · methodology custodian role,Co-author identified by Y0,Public co-authorship log,0 confirmed · outreach to FES + ACWADAM + WELL Labs pending,Role unfilled,open,2026-05-10
anchor-commitments,phase-0-state-partner,Karnataka,lakes-tanks,Phase 0 Cauvery upper basin twin · architecture.md §11,State partnership signed at Phase 0,Karnataka govt commitment letter,0 commitments · CWMA + BWSSB outreach pending,Partnership unsigned,open,2026-05-10
hard-q-status,hq-01-binding-constraint,India,all,hard-questions.md Q1,"Binding constraint is capital, talent, or institutional permission?",12-month observation + canon-update log,Still open · early signal: institutional permission,Unfalsified,open,2026-05-10
hard-q-status,hq-02-jjm-kpi,India,aquifers,hard-questions.md Q2,Is JJM tap-coverage KPI a public good or a political artefact?,CAG 2024 + functional-rate gap,Strongly trending political-artefact reading,Hypothesis confirmed by CAG findings,verified,2026-05-10
hard-q-status,hq-03-water-pricing,India,all,hard-questions.md Q3,Why does India price water near zero while pricing carbon increasingly?,12-month policy observation,Open · no policy movement on water pricing,Unfalsified,open,2026-05-10
hard-q-status,hq-04-fra-for-water,India,all,hard-questions.md Q4,"Is FRA-for-water plausible in a 5-year horizon, or a 50-year project?",12-month legal/political signal observation,Trending 50-year (no national movement),Hypothesis tilting toward 50-year,in-review,2026-05-10
hard-q-status,hq-05-audit-muscle,India,all,hard-questions.md Q5,What audit muscle architecture works?,This artefact itself + future audit muscle launch,Live experiment · v2.0 LEMMA,Self-test in progress,open,2026-05-10
hard-q-status,hq-11-canon-adequacy,India,all,hard-questions.md Q11,Is the canon adequate or does it need more chapters?,still-missing.md Tier-1 gaps,Tier-1 chapters identified · agriculture demand-side · urban utilities · transboundary · basin profiles · tech-stack,Canon explicitly incomplete,verified,2026-05-10
