state,type,name,status,risk
Punjab,rivers,Sutlej · Beas · Ravi,declining,Indus Treaty suspended Sep 2025 · headwater dispute
Punjab,aquifers,Punjab alluvial aquifer,critical,79% blocks over-exploited · 1m/yr fall · uranium Bathinda+Mansa
Haryana,rivers,Yamuna · Ghaggar,declining,Hindon catastrophic · Western Yamuna Canal stress
Haryana,aquifers,NCR-shared alluvial,critical,60%+ over-exploited · Karnal-Kurukshetra-Kaithal darkest
Tamil Nadu,rivers,Cauvery · Vaigai,declining,Cauvery dispute · Mettur-Veeranam stress
Tamil Nadu,lakes-tanks,Eri tank cascade,critical,~75% lost · Kudimaramath revival weak
Tamil Nadu,coastal-estuarine,Coromandel + Cauvery delta,stressed,Brackish · sea-level rise · Sterlite Tuticorin
Tamil Nadu,aquifers,TN groundwater,declining,~40% over-exploited · TN GW Act 2003 partial enforcement
Telangana,lakes-tanks,Hussain Sagar + tank cascade,critical,80%+ tanks silted/encroached · Hussain Sagar critical
Telangana,urban-drains,Musi (Hyderabad),critical,Sewage uncontrolled · pharma residues Patancheru
Telangana,aquifers,Telangana hard-rock,critical,50%+ over-exploited · Mahbubnagar-Wanaparthy darkest · F Nalgonda
Telangana,rivers,Krishna · Godavari,declining,Over-allocated · Krishna KWDT-II
Andhra Pradesh,rivers,Krishna · Godavari,declining,Polavaram delays · KWDT-II · Rayalaseema dryland
Andhra Pradesh,coastal-estuarine,K-G delta + Pulicat,declining,Delta sinking · coastal salinity · BoB cyclones
Andhra Pradesh,aquifers,Rayalaseema dryland aquifer,critical,F Anantapur-Prakasam-Nellore · uranium pockets · over-exploited
Maharashtra,rivers,Krishna · Bhima · Godavari · Mithi,declining,Basin sharing · Mithi Mumbai industrial · Mula-Mutha Pune
Maharashtra,lakes-tanks,Marathwada tanks,declining,Sugar-belt extraction · Paani Foundation + ATECF revival
Maharashtra,urban-drains,Mumbai-Thane-Belapur · Tarapur,critical,Industrial discharge · Mumbai monsoon flood-flushed
Maharashtra,coastal-estuarine,Konkan coast,stressed,Sea-level rise · cyclones (Tauktae)
Madhya Pradesh,lakes-tanks,Bundelkhand water-bodies,critical,Wells dry by Feb · ATECF tank revival 1000+
Madhya Pradesh,rivers,Narmada · Tapi · Son,declining,Sardar Sarovar · Indira Sagar · sewage Bhopal
Madhya Pradesh,aquifers,Vindhyan plateau hard-rock,declining,Bundelkhand critical · over-exploitation rising
Rajasthan,aquifers,Thar + Aravalli aquifers,critical,F 11 dark-zone districts · uranium Bikaner-Ganganagar · NO₃ runoff
Rajasthan,lakes-tanks,Johads + traditional harvesting,critical,70%+ non-functional · TBS revival ~1000 villages · need 100x scale
Rajasthan,rivers,Banas · Berach · Sambhar,declining,Sambhar drying · Indira Gandhi Canal · seasonal
Gujarat,coastal-estuarine,Saurashtra + Kachchh coast,critical,"CSPC decade+ · Saurashtra salinity · sea-level + cyclones (Tauktae, Biparjoy)"
Gujarat,rivers,Sabarmati · Narmada arc,declining,Sardar Sarovar dependence · Narmada disputes settled
