funder,layer,annual_disbursement_cr,total_outlay_cr,vehicle,note
JJM 2.0,gov,145000,869000,GoI / Jal Shakti,Through Dec 2028; Mar 2026 cabinet approval
AMRUT 2.0,gov,57000,277000,MoHUA,Urban water + sewerage in 500+ cities
MGNREGA water-NRM,gov,50000,,GoI 60% rule on ₹86k cr,Largest unbranded water spend
PMKSY,gov,19000,93000,AIBP+HKKP+PDMC+WDC,Through FY26
Namami Gange Phase II,gov,5000,22500,NMCG / DOWR,Through 2026; cumulative ₹38K cr+
World Bank India water,dfi,4000,21500,IBRD active portfolio,$2.6B active commitments
ADB India water,dfi,2700,12700,FY24 approvals,$1.53B across 5 loans FY24
Reliance Foundation total,csr,2156,,CSR FY25,Water portion ~₹200-300 cr
JICA India water,dfi,1250,46000,Bilateral ODA,30-year cumulative
Atal Bhujal Yojana,gov,1200,6000,Jal Shakti + WB co-financed,8000+ GPs in 7 stressed states
HUL CSR,csr,254,,CSR FY25,Water+sanitation ~₹80-100 cr
L&T CSR,csr,164,,CSR FY25,Water ~₹15-25 cr
ITC water-attributable,csr,125,,Mission Sunehra Kal,
Tata group water,csr,125,,TS+TP+TC+corporate est,
ATECF water-bodies,phil,100,,Maharashtra + MP + Rajasthan,5000+ water bodies rejuvenated
Tata Trusts water mission,phil,60,,CSPC + Garima + WOTR backbone,
Arghyam,phil,50,150,Rohini Nilekani Philanthropies,Dominant water-only India funder
Rainmatter water portion,phil,38,200,12 water partners + ecosystem,Founded 2015 onwards
ICC water-touching,phil,35,,Pooled climate philanthropy,Tata + Bloomberg + ATECF + Ford
Premji water-attributable,phil,22,,APPI through FES + WASSAN + others,Backbone funder of implementing NGOs
Sehgal Foundation,phil,15,,Mewat + NCR · rural water + agri,
Paani Foundation,phil,15,,Maharashtra Water Cup + Spardha,Aamir Khan + Kiran Rao anchored
