state,climate_stake
Punjab,Monsoon non-stationarity + glacier-fed Sutlej-Ravi-Beas · Indus Treaty suspended Sep 2025 · 200M+ downstream
Haryana,Monsoon variability rising · Yamuna basin stress cascade to Delhi · NCR water security
Tamil Nadu,Monsoon failure (2019 Day Zero) · cyclones from Bay of Bengal · sea-level on Coromandel
Telangana,Drought belt (Marathwada-Rayalaseema-TG) · monsoon variability · cyclone tail
Andhra Pradesh,BoB cyclones · sea-level on coast · Polavaram delays · Rayalaseema dryland
Maharashtra,Marathwada flood-drought oscillation · Mumbai monsoon flooding · Konkan cyclones (Tauktae)
Madhya Pradesh,Bundelkhand drought 6/10 yrs · Narmada flood · monsoon variability
Rajasthan,Heat-dome extreme · monsoon failure · pastoral commons climate-stressed
Gujarat,Cyclones (Tauktae · Biparjoy) · sea-level on Saurashtra+Kachchh · heat-waves
Uttar Pradesh,Bundelkhand drought · monsoon variability · floods compound · heat-waves rising
Bihar,Kosi annual floods · drought · climate-displacement · cyclone tail
Delhi,Heat-dome · Yamuna floods · monsoon erratic · NCR water security
Karnataka,Monsoon variability · Bengaluru Day-Zero (Mar 2024 near-miss) · Western Ghats stress
West Bengal,First wave Indian climate refugees · Sundarbans submersion within decades · cyclones (Bulbul · Yaas)
Sikkim,Cryosphere existential · GLOF risk · 200+ ICIMOD-flagged dangerous lakes · South Lhonak Oct 2023
Ladakh,Cryosphere existential · Indus Treaty suspended Sep 2025 · cold-desert spring decline
Himachal Pradesh,Glaciers lost 40% area · GLOF risk · cloud-bursts · hydropower variability rising
Uttarakhand,2013 Kedarnath ~5K dead · 2021 Chamoli · GLOF risk · pilgrimage exposure
Kerala,2018-19-24 mudslide-flood-drought stack · sea-level rise · 580 km coast climate-frontline
Odisha,BoB cyclones (Phailin · Hudhud · Fani · Yaas) · 1999 super-cyclone template (10K → <100 dead)
Jharkhand,Mining-water + climate compound · adivasi displacement · drought tail
Chhattisgarh,Tribal climate vulnerability · thermal industrial water + cooling stress
Assam,Brahmaputra annual floods · 100K+ displaced/yr · transboundary cascade · climate-displacement
Meghalaya,Climate-resilient springshed model · heavy-rain shifts · positive precedent
Goa,Coastal tourism economy at risk · CRZ violations · sea-level + estuary degradation
